provincia,canton,16/4/2020,17/4/2020,18/4/2020,19/4/2020,20/4/2020,21/4/2020,22/4/2020,23/4/2020,24/4/2020,25/4/2020,26/4/2020,27/4/2020,28/4/2020,29/4/2020,30/4/2020,1/5/2020,2/5/2020,3/5/2020,4/5/2020,5/5/2020,6/5/2020,7/5/2020
CARTAGO,JIMENEZ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CARTAGO,LA UNION,2,2,2,2,2,2,4,5,5,5,6,6,8,9,9,9,9,9,9,9,9,10
CARTAGO,OREAMUNO,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,3,3,4
CARTAGO,PARAISO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARTAGO,TURRIALBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUANACASTE,ABANGARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUANACASTE,BAGACES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUANACASTE,CAÑAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUANACASTE,CARRILLO,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
GUANACASTE,HOJANCHA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GUANACASTE,LA CRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUANACASTE,LIBERIA,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GUANACASTE,NANDAYURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUANACASTE,NICOYA,0,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
GUANACASTE,SANTA CRUZ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
GUANACASTE,TILARAN,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
HEREDIA,BARVA,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4
HEREDIA,BELEN,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4
HEREDIA,FLORES,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HEREDIA,HEREDIA,4,4,4,4,4,4,4,6,6,6,8,8,8,9,10,10,10,10,10,10,10,10
HEREDIA,SAN ISIDRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HEREDIA,SAN PABLO,3,4,4,5,5,5,6,6,7,8,8,8,8,8,8,9,9,9,9,9,9,9
HEREDIA,SAN RAFAEL,2,4,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7
HEREDIA,SANTA BARBARA,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
HEREDIA,SANTO DOMINGO,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4
HEREDIA,SARAPIQUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIMON,GUACIMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIMON,LIMON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LIMON,MATINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIMON,POCOCI,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3
LIMON,SIQUIRRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
LIMON,TALAMANCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNTARENAS,BUENOS AIRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNTARENAS,CORREDORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNTARENAS,COTO BRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
PUNTARENAS,ESPARZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
PUNTARENAS,GARABITO,2,2,2,2,2,2,4,5,5,5,7,7,7,12,12,12,12,12,12,13,13,14
PUNTARENAS,GOLFITO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNTARENAS,MONTES DE ORO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PUNTARENAS,OSA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
PUNTARENAS,PARRITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
PUNTARENAS,PUNTARENAS,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4
PUNTARENAS,QUEPOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN JOSE,ACOSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN JOSE,ALAJUELITA,0,0,0,0,1,2,3,3,3,3,5,5,5,5,5,6,6,6,7,7,8,8
SAN JOSE,ASERRI,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,5
SAN JOSE,CURRIDABAT,1,1,1,2,2,3,3,5,5,6,9,9,10,10,11,11,11,11,11,11,13,13
SAN JOSE,DESAMPARADOS,0,0,0,0,0,0,3,3,5,6,12,12,16,17,17,17,18,18,18,18,18,19
SAN JOSE,DOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN JOSE,ESCAZU,6,6,6,6,7,11,11,11,11,11,13,13,14,15,16,17,17,17,17,17,17,17
SAN JOSE,GOICOECHEA,0,0,0,0,0,3,4,4,4,4,6,6,6,6,7,8,10,10,10,10,10,11
SAN JOSE,LEON CORTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN JOSE,MONTES DE OCA,0,0,0,0,1,2,2,3,4,4,5,5,6,7,9,9,11,11,11,12,14,16
SAN JOSE,MORA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
SAN JOSE,MORAVIA,1,1,1,1,2,6,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10
SAN JOSE,PEREZ ZELEDON,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SAN JOSE,PURISCAL,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
SAN JOSE,SAN JOSE,5,5,5,7,7,5,8,9,11,20,26,26,28,28,29,35,40,41,43,44,49,50
SAN JOSE,SANTA ANA,2,2,2,3,9,16,17,18,18,20,21,21,21,21,21,23,23,26,26,31,31,31
SAN JOSE,TARRAZU,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAN JOSE,TIBAS,1,1,1,1,1,3,3,4,6,8,8,8,8,8,9,10,11,11,11,11,11,12
SAN JOSE,TURRUBARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN JOSE,VAZQUEZ DE CORONADO,1,1,1,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5
